gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,total_fall_time,wind_sum_x,wind_sum_y,actual_mass
0,0,334.3200000000,0.0226274170,1000.0000000000,14.1571079242,54.7899743083,0.3555271117,14.1571079242,0.0000000000,0.0000000000,356846939.1190629601
0,1,667.6400000000,0.0000000000,0.0000000000,13.8722776436,95.3948859941,1.4221084467,28.0293855678,0.0000000000,0.0000000000,365801939.4577856064
0,2,1000.9600000000,0.0000000000,0.0000000000,13.5931779325,131.9465686351,3.1997440051,41.6225635002,0.0000000000,0.0000000000,370140146.2261378765
0,3,1334.2800000000,0.0000000000,0.0000000000,13.3196934959,166.0921434755,5.6884337869,54.9422569961,0.0000000000,0.0000000000,372522295.3287258744
0,4,1667.6000000000,0.0000000000,0.0000000000,13.0517113589,198.5532957603,8.8881777920,67.9939683551,0.0000000000,0.0000000000,373801206.8492454290
0,5,2000.9200000000,0.0000000000,0.0000000000,12.7891208194,229.7323193005,12.7989760205,80.7830891745,0.0000000000,0.0000000000,374362627.7223867178
0,6,2334.2400000000,0.0000000000,0.0000000000,12.5318134025,259.8839917535,17.4208284723,93.3149025770,0.0000000000,0.0000000000,374414760.7386859655
0,7,2667.5600000000,0.0000000000,0.0000000000,12.2796828158,289.1832181233,22.7537351475,105.5945853928,0.0000000000,0.0000000000,374083045.2494670153
0,8,3000.8800000000,0.0000000000,0.0000000000,12.0326249054,317.7569837251,28.7976960461,117.6272102982,0.0000000000,0.0000000000,373448985.0867140889
0,9,3334.2000000000,0.0000000000,0.0000000000,11.7905376129,345.7013669369,35.5527111680,129.4177479111,0.0000000000,0.0000000000,372568536.5120437741
0,10,3667.5200000000,0.0000000000,0.0000000000,11.5533209332,373.0914056096,43.0187805133,140.9710688442,0.0000000000,0.0000000000,371481758.5133861899
0,11,4000.8400000000,0.0000000000,0.0000000000,11.3208768733,399.9871999488,51.1959040819,152.2919457175,0.0000000000,0.0000000000,370218283.2685903311
0,12,4334.1600000000,0.0000000000,0.0000000000,11.0931094117,426.4378829543,60.0840818739,163.3850551292,0.0000000000,0.0000000000,368800609.4809044600
0,13,4667.4800000000,0.0000000000,0.0000000000,10.8699244587,452.4843108254,69.6833138893,174.2549795879,0.0000000000,0.0000000000,367246183.2377346754
0,14,5000.8000000000,0.0000000000,0.0000000000,10.6512298179,478.1609481938,79.9936001280,184.9062094058,0.0000000000,0.0000000000,365568766.0478852987
0,15,5334.1200000000,0.0000000000,0.0000000000,10.4369351474,503.4972268660,91.0149405901,195.3431445532,0.0000000000,0.0000000000,363779364.6036775112
0,16,5667.4400000000,0.0000000000,0.0000000000,10.2269519233,528.5185488639,102.7473352755,205.5700964766,0.0000000000,0.0000000000,361886880.7057206035
0,17,6000.7600000000,0.0000000000,0.0000000000,10.0211934025,553.2470423463,115.1907841843,215.5912898791,0.0000000000,0.0000000000,359898576.6501709223
0,18,6334.0800000000,0.0000000000,0.0000000000,9.8195745872,577.7021416439,128.3452873165,225.4108644664,0.0000000000,0.0000000000,357820415.4712671638
0,19,6667.4000000000,0.0000000000,0.0000000000,9.6220121896,601.9010394383,142.2108446720,235.0328766560,0.0000000000,0.0000000000,355657314.2091901898
0,20,7000.7200000000,0.0000000000,0.0000000000,9.4284245977,625.8590442502,156.7874562509,244.4613012537,0.0000000000,0.0000000000,353413335.4021727443
0,21,7334.0400000000,0.0000000000,0.0000000000,9.2387318415,649.5898666287,172.0751220531,253.7000330952,0.0000000000,0.0000000000,351091833.8370556235
0,22,7667.3600000000,0.0000000000,0.0000000000,9.0528555596,673.1058508558,188.0738420787,262.7528886548,0.0000000000,0.0000000000,348695570.3172131181
0,23,8000.6800000000,0.0000000000,0.0000000000,8.8707189677,696.4181644533,204.7836163277,271.6236076226,0.0000000000,0.0000000000,346226800.7178882360
0,24,8334.0000000000,0.0000000000,0.0000000000,8.6922468260,719.5369546163,222.2044448000,280.3158544486,0.0000000000,0.0000000000,343687346.2424607873
0,25,8667.3200000000,0.0000000000,0.0000000000,8.5173654085,742.4714784334,240.3363274957,288.8332198570,0.0000000000,0.0000000000,341078649.1707221866
0,26,9000.6400000000,0.0000000000,0.0000000000,8.3460024725,765.2302121271,259.1792644147,297.1792223296,0.0000000000,0.0000000000,338401817.2533568740
0,27,9333.9600000000,0.0000000000,0.0000000000,8.1780872289,787.8209433434,278.7332555571,305.3573095585,0.0000000000,0.0000000000,335657659.0970302224
0,28,9667.2800000000,0.0000000000,0.0000000000,8.0135503128,810.2508496327,298.9983009229,313.3708598712,0.0000000000,0.0000000000,332846712.2986575961
0,29,10000.6000000000,0.0000000000,0.0000000000,7.8523237546,832.5265655927,319.9744005120,321.2231836259,0.0000000000,0.0000000000,329969265.6572006345
0,30,10333.9200000000,0.0000000000,0.0000000000,7.6943409527,854.6542406329,341.6615543245,328.9175245785,0.0000000000,0.0000000000,327025376.4706087112
0,31,10667.2400000000,0.0000000000,0.0000000000,7.5395366449,876.6395889324,364.0597623603,336.4570612234,0.0000000000,0.0000000000,324014883.6826714277
0,32,11000.5600000000,0.0000000000,0.0000000000,7.3878468825,898.4879328551,387.1690246195,343.8449081059,0.0000000000,0.0000000000,320937417.4575356841
0,33,11333.8800000000,0.0000000000,0.0000000000,7.2392090031,920.2042408519,410.9893411021,351.0841171090,0.0000000000,0.0000000000,317792405.6128494740
0,34,11667.2000000000,0.0000000000,0.0000000000,7.0935616052,941.7931606917,435.5207118080,358.1776787142,0.0000000000,0.0000000000,314579077.2246527076
