,Easting,Northing,Elevation,MassArea,"[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)",geometry,radius
0,433487,1479887,0,0.19481800000000002,0.0,1.7194099999999993e-269,1.9710599999999994e-193,3.475119999999999e-115,2.30883e-52,7.95683e-17,0.0115025,99.9885,POINT (433487 1479887),138597.58157341706
1,435487,1479887,0,0.20289000000000001,0.0,5.894989999999996e-264,1.926389999999999e-189,8.654749999999999e-113,3.00085e-51,1.9407599999999997e-16,0.014206299999999998,99.9858,POINT (435487 1479887),137178.99845821882
2,437487,1479887,0,0.211191,0.0,1.5568599999999991e-258,1.5597399999999997e-185,1.9249199999999998e-110,3.70069e-50,4.64839e-16,0.017471,99.9825,POINT (437487 1479887),135775.0552126568
3,439487,1479887,0,0.219723,0.0,3.1672899999999984e-253,1.0462199999999995e-181,3.823359999999999e-108,4.3301899999999996e-49,1.09328e-15,0.0213945,99.9786,POINT (439487 1479887),134386.210669101
4,441487,1479887,0,0.228483,0.0,4.963599999999997e-248,5.813879999999998e-178,6.782009999999999e-106,4.80753e-48,2.52501e-15,0.0260876,99.9739,POINT (441487 1479887),133012.93778426218
5,443487,1479887,0,0.23747100000000002,1.16633e-315,5.992119999999998e-243,2.6765799999999992e-174,1.0743799999999997e-103,5.064409999999999e-47,5.72652e-15,0.0316747,99.9683,POINT (443487 1479887),131655.72383303355
6,445487,1479887,0,0.24668299999999999,3.17199e-309,5.572409999999998e-238,1.0208699999999998e-170,1.5199999999999998e-101,5.0620999999999994e-46,1.2753100000000001e-14,0.0382944,99.9617,POINT (445487 1479887),130315.07057128887
7,447487,1479887,0,0.256117,6.153619999999996e-303,3.991969999999998e-233,3.225829999999999e-167,1.9205499999999998e-99,4.80097e-45,2.78894e-14,0.046100199999999994,99.9539,POINT (447487 1479887),128991.49436300054
8,449487,1479887,0,0.265768,8.515689999999995e-297,2.2030199999999994e-228,8.444909999999998e-164,2.1672399999999992e-97,4.32043e-44,5.98905e-14,0.055260199999999995,99.9447,POINT (449487 1479887),127685.52626668381
9,451487,1479887,0,0.275633,8.406299999999992e-291,9.365639999999994e-224,1.8316299999999992e-160,2.1841899999999994e-95,3.68915e-43,1.26291e-13,0.0659573,99.934,POINT (451487 1479887),126397.71207581251
10,453487,1479887,0,0.285704,5.9195599999999965e-285,3.067259999999999e-219,3.2913299999999986e-157,1.96599e-93,2.98901e-42,2.61504e-13,0.0783886,99.9216,POINT (453487 1479887),125128.61230749745
11,455487,1479887,0,0.295977,2.9735599999999986e-279,7.738589999999997e-215,4.900079999999999e-154,1.5804699999999996e-91,2.29791e-41,5.317140000000001e-13,0.09276419999999999,99.9072,POINT (455487 1479887),123878.8021333755
12,457487,1479887,0,0.306442,1.0655499999999995e-273,1.5040999999999993e-210,6.044159999999999e-151,1.1347799999999996e-89,1.6762799999999998e-40,1.06162e-12,0.109306,99.8907,POINT (457487 1479887),122648.87124633475
13,459487,1479887,0,0.317091,2.7238299999999985e-268,2.2521399999999992e-206,6.176969999999997e-148,7.277080000000001e-88,1.1602899999999999e-39,2.08136e-12,0.128245,99.8718,POINT (459487 1479887),121439.42365640575
14,461487,1479887,0,0.327915,4.9671099999999975e-263,2.5979299999999994e-202,5.2302899999999985e-145,4.168039999999999e-86,7.62065e-39,4.00695e-12,0.14982,99.8502,POINT (461487 1479887),120251.07740889477
15,463487,1479887,0,0.338901,6.461749999999996e-258,2.308739999999999e-198,3.6693899999999996e-142,2.1322599999999995e-84,4.749290000000001e-38,7.57472e-12,0.174272,99.8257,POINT (463487 1479887),119084.46421763
16,465487,1479887,0,0.350039,5.996849999999997e-253,1.5806799999999994e-194,2.1329599999999995e-139,9.742859999999998e-83,2.80851e-37,1.40606e-11,0.201843,99.7982,POINT (465487 1479887),117940.22900605205
17,467487,1479887,0,0.361315,3.970349999999998e-248,8.337609999999996e-191,1.0273099999999997e-136,3.97628e-81,1.57592e-36,2.56283e-11,0.232769,99.7672,POINT (467487 1479887),116819.02934881799
18,469487,1479887,0,0.372713,1.8753099999999992e-243,3.3882199999999983e-187,4.099699999999999e-134,1.4494999999999998e-79,8.39078e-36,4.58689e-11,0.267276,99.7327,POINT (469487 1479887),115721.53480662101
19,471487,1479887,0,0.38421700000000003,6.319159999999997e-239,1.0608099999999997e-183,1.3556399999999996e-131,4.71966e-78,4.239199999999999e-35,8.06109e-11,0.30557199999999995,99.6944,POINT (471487 1479887),114648.42614706929
20,473487,1479887,0,0.395809,1.519139999999999e-234,2.558899999999999e-180,3.7143499999999994e-129,1.3726699999999999e-76,2.03225e-34,1.39106e-10,0.347846,99.6522,POINT (473487 1479887),113600.39444473773
21,475487,1479887,0,0.407471,2.605499999999999e-230,4.755749999999999e-177,8.432859999999997e-127,3.5660199999999995e-75,9.244499999999999e-34,2.35706e-10,0.394255,99.6057,POINT (475487 1479887),112578.14005391988
22,477487,1479887,0,0.419181,3.188229999999998e-226,6.809939999999997e-174,1.5864499999999996e-124,8.275109999999999e-74,3.99028e-33,3.92164e-10,0.44492,99.5551,POINT (477487 1479887),111582.37144818173
23,479487,1479887,0,0.43091599999999997,2.7834299999999987e-222,7.513349999999997e-171,2.47314e-122,1.7153e-72,1.63432e-32,6.406709999999999e-10,0.49991800000000003,99.5001,POINT (479487 1479887),110613.80392157211
24,481487,1479887,0,0.44265200000000005,1.7337599999999994e-218,6.387019999999998e-168,3.194799999999999e-120,3.1760599999999993e-71,6.35163e-32,1.02771e-09,0.559276,99.4407,POINT (481487 1479887),109673.1581472878
25,483487,1479887,0,0.45436400000000005,7.705189999999998e-215,4.1835599999999993e-165,3.41998e-118,5.2532099999999995e-70,2.34233e-31,1.6187299999999998e-09,0.6229640000000001,99.37700000000001,POINT (483487 1479887),108761.15859073955
26,485487,1479887,0,0.46602299999999997,2.4432799999999986e-211,2.1114599999999988e-162,3.033849999999999e-116,7.76167e-69,8.19648e-31,2.50348e-09,0.6908890000000001,99.3091,POINT (485487 1479887),107878.5317753259
27,487487,1479887,0,0.4776,5.528009999999998e-208,8.211469999999998e-160,2.23032e-114,1.0244399999999998e-67,2.7215899999999998e-30,3.80171e-09,0.762887,99.2371,POINT (487487 1479887),107026.00440079972
28,489487,1479887,0,0.489063,8.924379999999996e-205,2.460749999999999e-157,1.3587699999999997e-112,1.20787e-66,8.57506e-30,5.66864e-09,0.838724,99.1613,POINT (489487 1479887),106204.30131590716
29,491487,1479887,0,0.5003810000000001,1.0280399999999995e-201,5.682399999999999e-155,6.860339999999997e-111,1.2722399999999998e-65,2.5637099999999997e-29,8.29932e-09,0.9180860000000001,99.0819,POINT (491487 1479887),105414.1433489833
30,493487,1479887,0,0.511518,8.450369999999995e-199,1.01117e-152,2.8705999999999993e-109,1.1971199999999998e-64,7.27316e-29,1.1930799999999999e-08,1.00058,98.9994,POINT (493487 1479887),104656.24500238865
31,495487,1479887,0,0.522438,4.956609999999998e-196,1.3866199999999998e-150,9.954879999999997e-108,1.0063099999999998e-63,1.95794e-28,1.68408e-08,1.08575,98.9142,POINT (495487 1479887),103931.31201904458
32,497487,1479887,0,0.533104,2.074669999999999e-193,1.4653499999999996e-148,2.8611899999999997e-106,7.557089999999998e-63,5.00149e-28,2.3340999999999997e-08,1.1730399999999999,98.82700000000001,POINT (497487 1479887),103240.03883184082
33,499487,1479887,0,0.5434770000000001,6.196959999999998e-191,1.1933899999999995e-146,6.815749999999999e-105,5.0701299999999995e-62,1.21235e-27,3.17645e-08,1.26184,98.7382,POINT (499487 1479887),102583.10590930653
34,501487,1479887,0,0.5535180000000001,1.3209399999999993e-188,7.490259999999997e-145,1.3457e-103,3.0389899999999994e-61,2.7885799999999998e-27,4.24456e-08,1.35146,98.6485,POINT (501487 1479887),101961.1770136065
35,503487,1479887,0,0.563187,2.009449999999999e-186,3.623209999999999e-143,2.2022099999999993e-102,1.6273899999999997e-60,6.08655e-27,5.56919e-08,1.44117,98.5588,POINT (503487 1479887),101374.89638958947
36,505487,1479887,0,0.572443,2.1815799999999992e-184,1.3507699999999998e-141,2.987139999999999e-101,7.785979999999999e-60,1.26065e-26,7.175e-08,1.53016,98.4698,POINT (505487 1479887),100824.88590620868
37,507487,1479887,0,0.581245,1.6903399999999995e-182,3.8812899999999993e-140,3.3585299999999997e-100,3.3281399999999996e-59,2.4777299999999998e-26,9.07662e-08,1.61761,98.3824,POINT (507487 1479887),100311.74217408449
38,509487,1479887,0,0.589554,9.347539999999998e-181,8.595779999999999e-139,3.130029999999999e-99,1.27105e-58,4.6212000000000006e-26,1.12746e-07,1.7026599999999998,98.2973,POINT (509487 1479887),99836.03366520526
39,511487,1479887,0,0.597329,3.689379999999999e-179,1.4672999999999996e-137,2.4180399999999996e-98,4.3371499999999995e-58,8.178989999999998e-26,1.37517e-07,1.78443,98.2156,POINT (511487 1479887),99398.29786268978
40,513487,1479887,0,0.604531,1.0393199999999996e-177,1.9305899999999996e-136,1.54847e-97,1.3223099999999998e-57,1.3736999999999999e-25,1.6469899999999998e-07,1.8620599999999998,98.1379,POINT (513487 1479887),98999.03847007809
41,515487,1479887,0,0.611125,2.089779999999999e-176,1.9579599999999994e-135,8.220069999999998e-97,3.60206e-57,2.1894399999999996e-25,1.93689e-07,1.9347,98.0653,POINT (515487 1479887),98638.72271070829
42,517487,1479887,0,0.617074,2.999239999999999e-175,1.5306399999999995e-134,3.6173299999999993e-96,8.76731e-57,3.3115300000000003e-25,2.2366900000000002e-07,2.0015099999999997,97.9985,POINT (517487 1479887),98317.77874830167
43,519487,1479887,0,0.6223479999999999,3.0724999999999993e-174,9.22366e-134,1.3196199999999995e-95,1.90671e-56,4.75312e-25,2.53626e-07,2.06173,97.9383,POINT (519487 1479887),98036.59325986395
44,521487,1479887,0,0.626915,2.246719999999999e-173,4.2845299999999985e-133,3.990839999999999e-95,3.7052e-56,6.474229999999999e-25,2.82404e-07,2.11464,97.8854,POINT (521487 1479887),97795.5091913734
45,523487,1479887,0,0.6307510000000001,1.1727099999999996e-172,1.5341899999999993e-132,1.0005499999999998e-94,6.43352e-56,8.368700000000001e-25,3.08772e-07,2.15961,97.8404,POINT (523487 1479887),97594.8237254415
46,525487,1479887,0,0.633834,4.369399999999999e-172,4.234849999999999e-132,2.0795999999999995e-94,9.981609999999999e-56,1.0265799999999998e-24,3.31511e-07,2.1960900000000003,97.8039,POINT (525487 1479887),97434.78648819425
47,527487,1479887,0,0.6361439999999999,1.1621099999999995e-171,9.011199999999999e-132,3.583359999999999e-94,1.3837899999999997e-55,1.19506e-24,3.49505e-07,2.22362,97.7764,POINT (527487 1479887),97315.59802005021
48,529487,1479887,0,0.637668,2.2063299999999995e-171,1.4781399999999997e-131,5.118849999999998e-94,1.7141899999999998e-55,1.3202399999999999e-24,3.61829e-07,2.24186,97.7581,POINT (529487 1479887),97237.40853190197
49,531487,1479887,0,0.6383979999999999,2.990159999999999e-171,1.8691399999999995e-131,6.062169999999998e-94,1.8974499999999996e-55,1.38414e-24,3.6783200000000003e-07,2.25058,97.7494,POINT (531487 1479887),97200.31696450377
50,533487,1479887,0,0.638328,2.892809999999999e-171,1.8220599999999993e-131,5.951949999999999e-94,1.8767399999999996e-55,1.37714e-24,3.6719099999999997e-07,2.24967,97.7503,POINT (533487 1479887),97204.37036471149
51,535487,1479887,0,0.637459,1.9977699999999992e-171,1.3692199999999996e-131,4.844679999999999e-94,1.6586599999999998e-55,1.3003e-24,3.59941e-07,2.23915,97.7609,POINT (535487 1479887),97249.56358770974
52,537487,1479887,0,0.6357970000000001,9.848549999999996e-172,7.931899999999998e-132,3.2692299999999994e-94,1.30989e-55,1.1651200000000002e-24,3.4647e-07,2.2191400000000003,97.7809,POINT (537487 1479887),97335.83932961179
53,539487,1479887,0,0.633351,3.465739999999999e-172,3.542169999999999e-132,1.8289299999999995e-94,9.24336e-56,9.907600000000002e-25,3.27489e-07,2.1899,97.8101,POINT (539487 1479887),97463.0884899509
54,541487,1479887,0,0.6301359999999999,8.705899999999997e-173,1.2193999999999996e-132,8.482359999999998e-95,5.828309999999999e-56,7.9951899999999995e-25,3.03963e-07,2.15179,97.8482,POINT (541487 1479887),97631.15085872951
55,543487,1479887,0,0.62617,1.5610599999999994e-173,3.2359899999999986e-133,3.261379999999999e-95,3.28374e-56,6.1228200000000005e-25,2.77037e-07,2.10528,97.8947,POINT (543487 1479887),97839.8161179793
56,545487,1479887,0,0.621478,1.9980599999999994e-174,6.619729999999999e-134,1.0395499999999998e-95,1.65313e-56,4.44974e-25,2.47939e-07,2.05094,97.9491,POINT (545487 1479887),98088.82514333629
57,547487,1479887,0,0.616085,1.8254599999999993e-175,1.0438599999999998e-134,2.7468899999999998e-96,7.436189999999999e-57,3.0688499999999996e-25,2.17892e-07,1.98943,98.0106,POINT (547487 1479887),98377.87158705966
58,549487,1479887,0,0.610021,1.1904399999999997e-176,1.2688399999999995e-135,6.017079999999998e-97,2.98879e-57,2.0084999999999998e-25,1.8802900000000002e-07,1.92146,98.0785,POINT (549487 1479887),98706.60372031853
59,551487,1479887,0,0.6033189999999999,5.541129999999999e-178,1.1888299999999995e-136,1.0926199999999995e-97,1.0733399999999998e-57,1.24745e-25,1.59328e-07,1.84782,98.1522,POINT (551487 1479887),99074.62650951554
60,553487,1479887,0,0.596015,1.8409399999999995e-179,8.585769999999997e-138,1.6446799999999996e-98,3.44406e-58,7.352260000000001e-26,1.32568e-07,1.7693400000000001,98.2307,POINT (553487 1479887),99481.50389896607
61,555487,1479887,0,0.588145,4.3653899999999996e-181,4.7793799999999985e-139,2.0521999999999992e-99,9.873879999999998e-59,4.11212e-26,1.0831e-07,1.6868900000000002,98.3131,POINT (555487 1479887),99926.76127044247
62,557487,1479887,0,0.579749,7.388139999999998e-183,2.0506299999999995e-140,2.1226099999999996e-100,2.5291999999999992e-59,2.1824999999999998e-26,8.689049999999999e-08,1.60132,98.3987,POINT (557487 1479887),100409.8880489367
63,559487,1479887,0,0.570865,8.924139999999997e-185,6.781339999999997e-142,1.8197999999999997e-101,5.788309999999999e-60,1.0992200000000002e-26,6.844649999999999e-08,1.51352,98.4865,POINT (559487 1479887),100930.34042348218
64,561487,1479887,0,0.5615359999999999,7.693179999999997e-187,1.7284099999999993e-143,1.2932199999999997e-102,1.1835399999999998e-60,5.2535e-27,5.294230000000001e-08,1.4243299999999999,98.5757,POINT (561487 1479887),101487.54415197956
65,563487,1479887,0,0.5518,4.733059999999998e-189,3.395219999999999e-145,7.617429999999998e-104,2.1620999999999994e-61,2.3825899999999998e-27,4.02091e-08,1.3345799999999999,98.6654,POINT (563487 1479887),102080.89741964458
66,565487,1479887,0,0.5417,2.078089999999999e-191,5.140089999999998e-147,3.718919999999999e-105,3.5287299999999998e-62,1.02537e-27,2.99857e-08,1.24506,98.7549,POINT (565487 1479887),102709.77372188102
67,567487,1479887,0,0.531274,6.511199999999997e-194,5.997109999999998e-149,1.5048399999999998e-106,5.145239999999999e-63,4.1873599999999995e-28,2.1956900000000004e-08,1.1565,98.8435,POINT (567487 1479887),103373.52474400784
68,569487,1479887,0,0.520562,1.4558599999999995e-196,5.3922799999999984e-151,5.046849999999999e-108,6.702409999999999e-64,1.62266e-28,1.57868e-08,1.06956,98.9304,POINT (569487 1479887),104071.48321226137
69,571487,1479887,0,0.509604,2.3229099999999986e-199,3.7363699999999993e-153,1.4027899999999995e-109,7.799859999999998e-65,5.96675e-29,1.11451e-08,0.984859,99.0151,POINT (571487 1479887),104802.96569277036
70,573487,1479887,0,0.498435,2.644769999999999e-202,1.9950999999999993e-155,3.2314899999999993e-111,8.108999999999998e-66,2.0819499999999997e-29,7.72566e-09,0.902918,99.0971,POINT (573487 1479887),105567.27531768545
71,575487,1479887,0,0.487091,2.148689999999999e-205,8.209299999999997e-158,6.169339999999999e-113,7.531219999999998e-67,6.89325e-30,5.25838e-09,0.824192,99.1758,POINT (575487 1479887),106363.70442025794
72,577487,1479887,0,0.47560699999999995,1.2456099999999996e-208,2.6029399999999994e-160,9.760909999999997e-115,6.248489999999999e-68,2.16569e-30,3.5142600000000002e-09,0.749057,99.2509,POINT (577487 1479887),107191.5370633335
73,579487,1479887,0,0.46401499999999996,5.152289999999997e-212,6.359599999999998e-163,1.2798199999999998e-116,4.631149999999999e-69,6.4563399999999995e-31,2.30611e-09,0.677809,99.3222,POINT (579487 1479887),108050.05144839127
74,581487,1479887,0,0.452346,1.5206299999999993e-215,1.1972699999999997e-165,1.3906199999999997e-118,3.066209999999999e-70,1.8263899999999998e-31,1.4859e-09,0.610671,99.3893,POINT (581487 1479887),108938.52219485998
75,583487,1479887,0,0.44063,3.202129999999999e-219,1.7367899999999997e-168,1.2521499999999998e-120,1.8134599999999994e-71,4.9024800000000005e-32,9.40087e-10,0.5477920000000001,99.4522,POINT (583487 1479887),109856.22248193318
76,585487,1479887,0,0.42889399999999994,4.811049999999999e-223,1.9412399999999996e-171,9.342989999999997e-123,9.580789999999999e-73,1.2486899999999998e-32,5.84001e-10,0.489253,99.5107,POINT (585487 1479887),110802.42604744718
77,587487,1479887,0,0.417163,5.157259999999997e-227,1.6718099999999994e-174,5.776839999999999e-125,4.521419999999999e-74,3.0178999999999997e-33,3.5622800000000005e-10,0.43507299999999993,99.5649,POINT (587487 1479887),111776.40904054845
78,589487,1479887,0,0.405461,3.9442799999999976e-231,1.1093199999999994e-177,2.9597899999999993e-127,1.9060099999999996e-75,6.921039999999998e-34,2.1336e-10,0.385216,99.6148,POINT (589487 1479887),112777.45172684122
79,591487,1479887,0,0.393811,2.152179999999999e-235,5.671329999999998e-181,1.2565799999999995e-129,7.17701e-77,1.5060899999999999e-34,1.25479e-10,0.339595,99.6604,POINT (591487 1479887),113804.84004645848
80,593487,1479887,0,0.382234,8.378099999999996e-240,2.2338999999999995e-184,4.4205199999999986e-132,2.4139399999999994e-78,3.10987e-35,7.24606e-11,0.298082,99.7019,POINT (593487 1479887),114857.86702703476
81,595487,1479887,0,0.370749,2.3268099999999984e-244,6.779339999999997e-188,1.2885499999999995e-134,7.25218e-80,6.093219999999999e-36,4.10875e-11,0.26051199999999997,99.7395,POINT (595487 1479887),115935.8340548771
82,597487,1479887,0,0.35937199999999997,4.610199999999997e-249,1.5850699999999992e-191,3.1121999999999993e-137,1.9460999999999995e-81,1.13283e-36,2.28769e-11,0.22669499999999998,99.7733,POINT (597487 1479887),117038.05200873774
83,599487,1479887,0,0.34812,6.516519999999996e-254,2.8552299999999988e-195,6.228269999999998e-140,4.664529999999999e-83,1.99844e-37,1.25073e-11,0.196417,99.8036,POINT (599487 1479887),118163.84226149724
84,601487,1479887,0,0.337009,6.571169999999997e-259,3.962419999999998e-199,1.0327499999999999e-142,9.986069999999998e-85,3.34526e-38,6.71447e-12,0.169451,99.8305,POINT (601487 1479887),119312.53755578246
