,Easting,Northing,Elevation,MassArea,"[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)",geometry,radius
0,433487,1479887,0,0.261693,2.3416099999999984e-268,2.2573399999999988e-209,1.3453799999999994e-151,5.797019999999999e-90,3.52469e-41,3.43906e-13,0.162171,99.8378,POINT (433487 1479887),138597.58157341706
1,435487,1479887,0,0.27049,7.456809999999996e-263,4.600289999999998e-205,1.8427599999999992e-148,4.4132199999999993e-88,2.71327e-40,7.08986e-13,0.18987,99.8101,POINT (435487 1479887),137178.99845821882
2,437487,1479887,0,0.279496,1.8318999999999993e-257,7.650619999999996e-201,2.1766999999999994e-145,3.0741e-86,2.00316e-39,1.44019e-12,0.22158899999999998,99.7784,POINT (437487 1479887),135775.0552126568
3,439487,1479887,0,0.28871199999999997,3.4718399999999985e-252,1.0383199999999996e-196,2.2173799999999994e-142,1.9592799999999997e-84,1.4183600000000002e-38,2.8826e-12,0.257778,99.7422,POINT (439487 1479887),134386.210669101
4,441487,1479887,0,0.298137,5.076089999999997e-247,1.1499899999999994e-192,1.9480199999999994e-139,1.1425899999999996e-82,9.63178e-38,5.68497e-12,0.298915,99.7011,POINT (441487 1479887),133012.93778426218
5,443487,1479887,0,0.307772,5.725479999999997e-242,1.0393999999999996e-188,1.4758999999999996e-136,6.096859999999999e-81,6.273e-37,1.10471e-11,0.345503,99.6545,POINT (443487 1479887),131655.72383303355
6,445487,1479887,0,0.31761500000000004,4.982059999999998e-237,7.666529999999998e-185,9.643589999999997e-134,2.97676e-79,3.91824e-36,2.11516e-11,0.398064,99.6019,POINT (445487 1479887),130315.07057128887
7,447487,1479887,0,0.327666,3.344429999999999e-232,4.614739999999998e-181,5.434229999999998e-131,1.3298599999999996e-77,2.34722e-35,3.99032e-11,0.45714,99.5429,POINT (447487 1479887),128991.49436300054
8,449487,1479887,0,0.33792300000000003,1.7320199999999991e-227,2.2668799999999996e-177,2.6409299999999993e-128,5.4362199999999994e-76,1.3485299999999998e-34,7.41721e-11,0.5232829999999999,99.4767,POINT (449487 1479887),127685.52626668381
9,451487,1479887,0,0.348385,6.919969999999997e-223,9.087509999999997e-174,1.1068799999999999e-125,2.0333700000000002e-74,7.430439999999999e-34,1.35843e-10,0.597053,99.4029,POINT (451487 1479887),126397.71207581251
10,453487,1479887,0,0.359048,2.1329299999999988e-218,2.973019999999999e-170,4.000989999999999e-123,6.959369999999999e-73,3.92655e-33,2.4513e-10,0.679006,99.321,POINT (453487 1479887),125128.61230749745
11,455487,1479887,0,0.369909,5.071949999999998e-214,7.937639999999999e-167,1.2472799999999997e-120,2.1794999999999996e-71,1.98998e-32,4.3582499999999994e-10,0.769691,99.2303,POINT (455487 1479887),123878.8021333755
12,457487,1479887,0,0.380965,9.304649999999998e-210,1.7295299999999995e-163,3.353469999999999e-118,6.245729999999999e-70,9.672230000000001e-32,7.634539999999999e-10,0.869634,99.1304,POINT (457487 1479887),122648.87124633475
13,459487,1479887,0,0.39221100000000003,1.3169099999999996e-205,3.075459999999999e-160,7.776079999999999e-116,1.63775e-68,4.508619999999999e-31,1.3176600000000002e-09,0.9793360000000001,99.0207,POINT (459487 1479887),121439.42365640575
14,461487,1479887,0,0.40364,1.4379499999999992e-201,4.463149999999998e-157,1.5551299999999999e-113,3.929669999999999e-67,2.01557e-30,2.24065e-09,1.09925,98.9007,POINT (461487 1479887),120251.07740889477
15,463487,1479887,0,0.41524700000000003,1.2113499999999992e-197,5.285999999999999e-154,2.6823599999999996e-111,8.627999999999999e-66,8.641489999999998e-30,3.75396e-09,1.22979,98.7702,POINT (463487 1479887),119084.46421763
16,465487,1479887,0,0.42702299999999993,7.872939999999997e-194,5.109409999999999e-151,3.9903999999999988e-109,1.7334599999999996e-64,3.55315e-29,6.1965e-09,1.3713,98.6287,POINT (465487 1479887),117940.22900605205
17,467487,1479887,0,0.438959,3.947769999999998e-190,4.030679999999999e-148,5.1199999999999994e-107,3.1868999999999996e-63,1.40111e-28,1.00773e-08,1.52403,98.476,POINT (467487 1479887),116819.02934881799
18,469487,1479887,0,0.45104399999999994,1.5272799999999994e-186,2.5950999999999998e-145,5.666099999999999e-105,5.361399999999999e-62,5.29864e-28,1.61464e-08,1.6881700000000002,98.3118,POINT (469487 1479887),115721.53480662101
19,471487,1479887,0,0.463266,4.558719999999998e-183,1.3636599999999997e-142,5.408349999999999e-103,8.253689999999999e-61,1.9217199999999998e-27,2.54884e-08,1.86379,98.1362,POINT (471487 1479887),114648.42614706929
20,473487,1479887,0,0.47561000000000003,1.0498699999999998e-179,5.848449999999999e-140,4.452639999999999e-101,1.1627399999999999e-59,6.68414e-27,3.96409e-08,2.05085,97.9491,POINT (473487 1479887),113600.39444473773
21,475487,1479887,0,0.488062,1.8654999999999992e-176,2.0472199999999998e-137,3.161919999999999e-99,1.4989399999999999e-58,2.2296400000000004e-26,6.07402e-08,2.24919,97.7508,POINT (475487 1479887),112578.14005391988
22,477487,1479887,0,0.5006010000000001,2.5576399999999992e-173,5.849069999999998e-135,1.9367399999999999e-97,1.7683099999999996e-57,7.132729999999999e-26,9.16939e-08,2.45852,97.5415,POINT (477487 1479887),111582.37144818173
23,479487,1479887,0,0.513209,2.7056599999999985e-170,1.3640099999999995e-132,1.0232699999999997e-95,1.90902e-56,2.18833e-25,1.36375e-07,2.6784,97.3216,POINT (479487 1479887),110613.80392157211
24,481487,1479887,0,0.5258609999999999,2.2085499999999993e-167,2.596359999999999e-130,4.6635199999999987e-94,1.8860299999999997e-55,6.4387799999999995e-25,1.99831e-07,2.90826,97.0917,POINT (481487 1479887),109673.1581472878
25,483487,1479887,0,0.5385340000000001,1.3910799999999993e-164,4.0340299999999996e-128,1.8333799999999997e-92,1.7052099999999998e-54,1.81691e-24,2.8848500000000003e-07,3.14736,96.8526,POINT (483487 1479887),108761.15859073955
26,485487,1479887,0,0.551198,6.761109999999998e-162,5.116279999999999e-126,6.217529999999998e-91,1.4109300000000002e-53,4.9170300000000006e-24,4.10316e-07,3.3948400000000003,96.6052,POINT (485487 1479887),107878.5317753259
27,487487,1479887,0,0.563823,2.535819999999999e-159,5.296879999999999e-124,1.8189399999999997e-89,1.0684e-52,1.2762e-23,5.74977e-07,3.64966,96.3503,POINT (487487 1479887),107026.00440079972
28,489487,1479887,0,0.576376,7.339509999999998e-157,4.4766299999999993e-122,4.5906e-88,7.40423e-52,3.17672e-23,7.93822e-07,3.91065,96.0893,POINT (489487 1479887),106204.30131590716
29,491487,1479887,0,0.58882,1.6393699999999996e-154,3.0885799999999996e-120,9.99492e-87,4.6961900000000005e-51,7.58392e-23,1.07979e-06,4.17652,95.8235,POINT (491487 1479887),105414.1433489833
30,493487,1479887,0,0.601117,2.8259299999999994e-152,1.73964e-118,1.8774199999999998e-85,2.7261e-50,1.7364599999999998e-22,1.4471200000000002e-06,4.445819999999999,95.5542,POINT (493487 1479887),104656.24500238865
31,495487,1479887,0,0.613225,3.759559999999999e-150,7.999549999999998e-117,3.042499999999999e-84,1.4483599999999997e-49,3.8132999999999998e-22,1.91083e-06,4.71702,95.28299999999999,POINT (495487 1479887),103931.31201904458
32,497487,1479887,0,0.625101,3.860279999999999e-148,3.0032599999999988e-115,4.2540099999999994e-83,7.04302e-49,8.031649999999999e-22,2.48598e-06,4.98845,95.0115,POINT (497487 1479887),103240.03883184082
33,499487,1479887,0,0.6366970000000001,3.0592999999999994e-146,9.205689999999997e-114,5.131889999999998e-82,3.13474e-48,1.6225000000000002e-21,3.18668e-06,5.25839,94.7416,POINT (499487 1479887),102583.10590930653
34,501487,1479887,0,0.647967,1.8713899999999995e-144,2.30394e-112,5.341739999999999e-81,1.2770600000000001e-47,3.1437399999999997e-21,4.02485e-06,5.52505,94.4749,POINT (501487 1479887),101961.1770136065
35,503487,1479887,0,0.6588609999999999,8.836059999999998e-143,4.7081999999999994e-111,4.797639999999999e-80,4.76211e-47,5.84249e-21,5.008859999999999e-06,5.786580000000001,94.2134,POINT (503487 1479887),101374.89638958947
36,505487,1479887,0,0.669327,3.220499999999999e-141,7.856339999999997e-110,3.7181399999999986e-79,1.6254599999999999e-46,1.04147e-20,6.142029999999999e-06,6.04111,93.9589,POINT (505487 1479887),100824.88590620868
37,507487,1479887,0,0.679316,9.060969999999998e-140,1.0704899999999999e-108,2.4865099999999995e-78,5.07869e-46,1.78073e-20,7.421260000000001e-06,6.28679,93.7132,POINT (507487 1479887),100311.74217408449
38,509487,1479887,0,0.688775,1.9680099999999995e-138,1.1911299999999997e-107,1.43494e-77,1.4525699999999997e-45,2.9205300000000003e-20,8.83571e-06,6.52176,93.4782,POINT (509487 1479887),99836.03366520526
39,511487,1479887,0,0.697654,3.2998699999999987e-137,1.0823399999999995e-106,7.146099999999999e-77,3.8030999999999994e-45,4.5945599999999995e-20,1.0365999999999999e-05,6.74423,93.2558,POINT (511487 1479887),99398.29786268978
