,Easting,Northing,Elevation,MassArea,"[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)",geometry,radius
0,433487,1479887,0,0.00144055,0.0,0.0,0.0,0.0,2.2362199999999993e-177,6.192529999999999e-57,4.44776e-13,100.0,POINT (433487 1479887),138597.58157341706
1,435487,1479887,0,0.00166714,0.0,0.0,0.0,0.0,1.0352099999999996e-173,9.881389999999999e-56,8.92805e-13,100.0,POINT (435487 1479887),137178.99845821882
2,437487,1479887,0,0.00192435,0.0,0.0,0.0,0.0,4.031059999999999e-170,1.4896299999999998e-54,1.7667799999999999e-12,100.0,POINT (437487 1479887),135775.0552126568
3,439487,1479887,0,0.00221545,0.0,0.0,0.0,0.0,1.3203699999999996e-166,2.1215599999999996e-53,3.4468199999999996e-12,100.0,POINT (439487 1479887),134386.210669101
4,441487,1479887,0,0.0025439,0.0,0.0,0.0,0.0,3.637969999999999e-163,2.8546400000000003e-52,6.62927e-12,100.0,POINT (441487 1479887),133012.93778426218
5,443487,1479887,0,0.00291337,0.0,0.0,0.0,0.0,8.431699999999997e-160,3.6288899999999995e-51,1.25697e-11,100.0,POINT (443487 1479887),131655.72383303355
6,445487,1479887,0,0.00332768,0.0,0.0,0.0,0.0,1.6438699999999996e-156,4.358389999999999e-50,2.34961e-11,100.0,POINT (445487 1479887),130315.07057128887
7,447487,1479887,0,0.00379084,0.0,0.0,0.0,0.0,2.69601e-153,4.945529999999999e-49,4.32993e-11,100.0,POINT (447487 1479887),128991.49436300054
8,449487,1479887,0,0.00430696,0.0,0.0,0.0,0.0,3.719479999999999e-150,5.30199e-48,7.86644e-11,100.0,POINT (449487 1479887),127685.52626668381
9,451487,1479887,0,0.00488027,0.0,0.0,0.0,0.0,4.316729999999999e-147,5.37043e-47,1.4089300000000002e-10,100.0,POINT (451487 1479887),126397.71207581251
10,453487,1479887,0,0.00551503,0.0,0.0,0.0,1.00604e-315,4.214499999999999e-144,5.1396e-46,2.4878e-10,100.0,POINT (453487 1479887),125128.61230749745
11,455487,1479887,0,0.00621553,0.0,0.0,0.0,2.16099e-309,3.4614699999999986e-141,4.647319999999999e-45,4.3306800000000007e-10,100.0,POINT (455487 1479887),123878.8021333755
12,457487,1479887,0,0.00698599,0.0,0.0,0.0,3.182879999999998e-303,2.3916899999999995e-138,3.97041e-44,7.4321e-10,100.0,POINT (457487 1479887),122648.87124633475
13,459487,1479887,0,0.00783053,0.0,0.0,0.0,3.2217899999999984e-297,1.39023e-135,3.20502e-43,1.2574299999999999e-09,100.0,POINT (459487 1479887),121439.42365640575
14,461487,1479887,0,0.00875309,0.0,0.0,0.0,2.241249999999999e-291,6.798489999999998e-133,2.44452e-42,2.09734e-09,100.0,POINT (461487 1479887),120251.07740889477
15,463487,1479887,0,0.00975734,0.0,0.0,0.0,1.0715299999999992e-285,2.796979999999999e-130,1.7616899999999997e-41,3.44881e-09,100.0,POINT (463487 1479887),119084.46421763
16,465487,1479887,0,0.010846600000000001,0.0,0.0,0.0,3.520849999999998e-280,9.681059999999997e-128,1.19961e-40,5.590960000000001e-09,100.0,POINT (465487 1479887),117940.22900605205
17,467487,1479887,0,0.0120238,0.0,0.0,0.0,7.951109999999996e-275,2.819179999999999e-125,7.71853e-40,8.935509999999999e-09,100.0,POINT (467487 1479887),116819.02934881799
18,469487,1479887,0,0.013291299999999999,0.0,0.0,0.0,1.2341099999999993e-269,6.907119999999998e-123,4.6926e-39,1.40789e-08,100.0,POINT (469487 1479887),115721.53480662101
19,471487,1479887,0,0.014650899999999998,0.0,0.0,0.0,1.3165199999999996e-264,1.4238099999999996e-120,2.6957699999999997e-38,2.1869200000000003e-08,100.0,POINT (471487 1479887),114648.42614706929
20,473487,1479887,0,0.0161036,0.0,0.0,0.0,9.653079999999995e-260,2.46944e-118,1.4633399999999999e-37,3.34899e-08,100.0,POINT (473487 1479887),113600.39444473773
