,Easting,Northing,Elevation,MassArea,"[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)",geometry,radius
0,433487,1479887,0,0.109399,0.0,0.0,5.289979999999997e-259,5.398779999999998e-156,1.3012799999999996e-70,1.0079299999999999e-22,0.000188252,99.9998,POINT (433487 1479887),138597.58157341706
1,435487,1479887,0,0.11548900000000001,0.0,0.0,1.1237599999999994e-253,9.148979999999998e-153,3.982729999999999e-69,3.23346e-22,0.000252672,99.9997,POINT (435487 1479887),137178.99845821882
2,437487,1479887,0,0.121826,0.0,0.0,1.8569899999999995e-248,1.3312899999999996e-149,1.1363899999999998e-67,1.0128800000000001e-21,0.000337118,99.9997,POINT (437487 1479887),135775.0552126568
3,439487,1479887,0,0.128411,0.0,0.0,2.3870499999999987e-243,1.6633999999999996e-146,3.0227999999999994e-66,3.09817e-21,0.00044711,99.9996,POINT (439487 1479887),134386.210669101
4,441487,1479887,0,0.135247,0.0,0.0,2.386899999999999e-238,1.7846599999999993e-143,7.496129999999998e-65,9.25356e-21,0.000589461,99.9994,POINT (441487 1479887),133012.93778426218
5,443487,1479887,0,0.142335,0.0,0.0,1.8566599999999992e-233,1.6441699999999997e-140,1.7330599999999998e-63,2.6988000000000002e-20,0.000772508,99.9992,POINT (443487 1479887),131655.72383303355
6,445487,1479887,0,0.149675,0.0,0.0,1.1234599999999994e-228,1.3007099999999995e-137,3.7354299999999993e-62,7.6858e-20,0.00100637,99.999,POINT (445487 1479887),130315.07057128887
7,447487,1479887,0,0.15726700000000002,0.0,1.23875e-316,5.288309999999998e-224,8.835999999999997e-135,7.506289999999999e-61,2.13731e-19,0.00130322,99.9987,POINT (447487 1479887),128991.49436300054
8,449487,1479887,0,0.16510899999999998,0.0,3.30466e-310,1.9364899999999994e-219,5.1544499999999986e-132,1.4062799999999999e-59,5.80368e-19,0.00167759,99.9983,POINT (449487 1479887),127685.52626668381
9,451487,1479887,0,0.173198,0.0,6.190359999999996e-304,5.516379999999998e-215,2.5820399999999992e-129,2.4563299999999996e-58,1.5388599999999998e-18,0.00214664,99.9979,POINT (451487 1479887),126397.71207581251
10,453487,1479887,0,0.181531,0.0,8.143369999999995e-298,1.2224799999999994e-210,1.1107199999999997e-126,4.0001e-57,3.984319999999999e-18,0.00273046,99.9973,POINT (453487 1479887),125128.61230749745
11,455487,1479887,0,0.190103,0.0,7.523129999999995e-292,2.1075699999999992e-206,4.1031099999999985e-124,6.07338e-56,1.00732e-17,0.00345236,99.9965,POINT (455487 1479887),123878.8021333755
12,457487,1479887,0,0.198907,0.0,4.880929999999997e-286,2.826699999999999e-202,1.3016499999999996e-121,8.59747e-55,2.4868099999999998e-17,0.00433911,99.9957,POINT (457487 1479887),122648.87124633475
13,459487,1479887,0,0.207938,0.0,2.2239399999999994e-280,2.9494599999999984e-198,3.546119999999999e-119,1.13474e-53,5.99481e-17,0.005421100000000001,99.9946,POINT (459487 1479887),121439.42365640575
14,461487,1479887,0,0.21718400000000002,0.0,7.116509999999997e-275,2.394279999999999e-194,8.296539999999997e-117,1.39639e-52,1.41113e-16,0.00673248,99.9933,POINT (461487 1479887),120251.07740889477
15,463487,1479887,0,0.22663699999999998,0.0,1.599329999999999e-269,1.5121099999999994e-190,1.66699e-114,1.6021900000000002e-51,3.2435400000000005e-16,0.00831119,99.9917,POINT (463487 1479887),119084.46421763
16,465487,1479887,0,0.23628400000000002,0.0,2.5243199999999984e-264,7.429739999999997e-187,2.8765099999999995e-112,1.71402e-50,7.279969999999999e-16,0.0101988,99.9898,POINT (465487 1479887),117940.22900605205
17,467487,1479887,0,0.246112,0.0,2.7982799999999986e-259,2.8402299999999988e-183,4.2628999999999995e-110,1.7096899999999998e-49,1.5955e-15,0.0124405,99.9876,POINT (467487 1479887),116819.02934881799
18,469487,1479887,0,0.256105,0.0,2.178639999999999e-254,8.447509999999997e-180,5.425699999999999e-108,1.5901000000000002e-48,3.41447e-15,0.015084100000000001,99.9849,POINT (469487 1479887),115721.53480662101
19,471487,1479887,0,0.26624699999999996,0.0,1.1913399999999992e-249,1.9548199999999995e-176,5.930969999999999e-106,1.3789199999999999e-47,7.13519e-15,0.0181802,99.9818,POINT (471487 1479887),114648.42614706929
20,473487,1479887,0,0.276519,0.0,4.575579999999997e-245,3.519629999999999e-173,5.568309999999998e-104,1.1149799999999999e-46,1.45594e-14,0.021780599999999997,99.9782,POINT (473487 1479887),113600.39444473773
21,475487,1479887,0,0.2869,2.25852e-317,1.2343199999999995e-240,4.9306399999999984e-170,4.4900799999999996e-102,8.406339999999998e-46,2.90093e-14,0.025937900000000003,99.9741,POINT (475487 1479887),112578.14005391988
22,477487,1479887,0,0.297369,9.47684e-312,2.338759999999999e-236,5.374469999999999e-167,3.109759999999999e-100,5.9097e-45,5.6439699999999995e-14,0.0307038,99.9693,POINT (477487 1479887),111582.37144818173
23,479487,1479887,0,0.30790100000000004,2.4998299999999986e-306,3.1126299999999986e-232,4.558279999999999e-164,1.8499099999999993e-98,3.87387e-44,1.07222e-13,0.0361276,99.9639,POINT (479487 1479887),110613.80392157211
24,481487,1479887,0,0.318471,4.145069999999997e-301,2.9097899999999985e-228,3.0082099999999993e-161,9.452119999999997e-97,2.36782e-43,1.98902e-13,0.042254599999999996,99.9577,POINT (481487 1479887),109673.1581472878
25,483487,1479887,0,0.32905100000000004,4.320529999999998e-296,1.9107299999999987e-224,1.5447699999999994e-158,4.1483299999999984e-95,1.3495099999999999e-42,3.60281e-13,0.04912419999999999,99.9509,POINT (483487 1479887),108761.15859073955
26,485487,1479887,0,0.33961199999999997,2.830969999999998e-291,8.813409999999995e-221,6.172749999999999e-156,1.5638299999999997e-93,7.171929999999999e-42,6.37229e-13,0.056767899999999996,99.9432,POINT (485487 1479887),107878.5317753259
27,487487,1479887,0,0.350122,1.166089999999999e-286,2.8556599999999992e-217,1.9193799999999995e-153,5.063899999999999e-92,3.55406e-41,1.10052e-12,0.0652068,99.9348,POINT (487487 1479887),107026.00440079972
28,489487,1479887,0,0.360551,3.0195499999999985e-282,6.499749999999997e-214,4.6442599999999984e-151,1.4085399999999994e-90,1.64228e-40,1.8558700000000002e-12,0.0744502,99.9255,POINT (489487 1479887),106204.30131590716
29,491487,1479887,0,0.370863,4.9154999999999974e-278,1.0392499999999994e-210,8.744929999999998e-149,3.365479999999999e-89,7.0763e-40,3.05592e-12,0.0844926,99.9155,POINT (491487 1479887),105414.1433489833
30,493487,1479887,0,0.381023,5.030609999999997e-274,1.1673199999999996e-207,1.2814099999999995e-146,6.907599999999999e-88,2.8431700000000002e-39,4.91341e-12,0.0953128,99.9047,POINT (493487 1479887),104656.24500238865
31,495487,1479887,0,0.390996,3.2367499999999984e-270,9.211109999999997e-205,1.4612499999999994e-144,1.2179199999999998e-86,1.06522e-38,7.713780000000001e-12,0.10687100000000001,99.8931,POINT (495487 1479887),103931.31201904458
