#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1428690 350 4e-30  0 0 0 0 5.7e-215 2.5e-65 1.8e-09 1e+02 
482290 1430190 350 3.9e-32  0 0 0 0 7.8e-224 3.8e-69 1.1e-10 1e+02 
482290 1431690 350 3.3e-34  0 0 0 0 5.1e-233 4.1e-73 5.4e-12 1e+02 
483790 1332690 350 4.5e-68  0 0 0 0 1.4e-248 2e-92 5.1e-32 1e+02 
483790 1334190 350 1e-64  0 0 0 0 6.2e-239 4.8e-88 2.2e-30 1e+02 
483790 1335690 350 1.9e-61  0 0 0 0 1.4e-229 8.3e-84 8.7e-29 1e+02 
483790 1337190 350 3e-58  0 0 0 0 1.5e-220 1.1e-79 3e-27 1e+02 
483790 1338690 350 4e-55  0 0 0 0 8.6e-212 1e-75 9.4e-26 1e+02 
483790 1340190 350 4.4e-52  0 0 0 0 2.5e-203 6.9e-72 2.6e-24 1e+02 
483790 1341690 350 4e-49  0 0 0 0 3.6e-195 3.6e-68 6.6e-23 1e+02 
483790 1343190 350 3e-46  0 0 0 0 2.7e-187 1.4e-64 1.5e-21 1e+02 
483790 1344690 350 1.9e-43  0 0 0 0 1.1e-179 3.8e-61 3.1e-20 1e+02 
483790 1346190 350 9.7e-41  0 0 0 0 2.1e-172 8.1e-58 5.9e-19 1e+02 
483790 1347690 350 4.1e-38  0 0 0 0 2.1e-165 1.3e-54 1e-17 1e+02 
483790 1349190 350 1.4e-35  0 0 0 0 1.1e-158 1.5e-51 1.6e-16 1e+02 
483790 1350690 350 4e-33  0 0 0 0 3e-152 1.3e-48 2.3e-15 1e+02 
483790 1352190 350 9.4e-31  0 0 0 0 4.3e-146 8.8e-46 3.1e-14 1e+02 
483790 1353690 350 1.8e-28  0 0 0 0 3.2e-140 4.4e-43 3.7e-13 1e+02 
483790 1355190 350 2.7e-26  0 0 0 0 1.2e-134 1.7e-40 4.3e-12 1e+02 
483790 1356690 350 3.4e-24  0 0 0 0 2.4e-129 4.8e-38 4.5e-11 1e+02 
483790 1358190 350 3.5e-22  0 0 0 1.3e-289 2.5e-124 1e-35 4.4e-10 1e+02 
483790 1359690 350 2.9e-20  0 0 0 7.9e-281 1.4e-119 1.7e-33 4e-09 1e+02 
483790 1361190 350 1.9e-18  0 0 0 1.4e-272 3.9e-115 2.2e-31 3.4e-08 1e+02 
483790 1362690 350 1e-16  0 0 0 7.1e-265 5.9e-111 2.1e-29 2.7e-07 1e+02 
483790 1364190 350 4.4e-15  0 0 0 1e-257 4.7e-107 1.5e-27 1.9e-06 1e+02 
483790 1365690 350 1.5e-13  0 0 0 4.5e-251 1.9e-103 8.2e-26 1.3e-05 1e+02 
483790 1367190 350 4.3e-12  0 0 0 5.5e-245 4.2e-100 3.5e-24 8.3e-05 1e+02 
483790 1368690 350 9.8e-11  0 0 0 2e-239 4.8e-97 1.1e-22 0.00048 1e+02 
483790 1370190 350 1.8e-09  0 0 0 2.1e-234 2.9e-94 2.7e-21 0.0025 1e+02 
483790 1371690 350 2.7e-08  0 0 0 6.2e-230 9.1e-92 5e-20 0.012 1e+02 
483790 1373190 350 3.2e-07  0 0 0 5.4e-226 1.5e-89 6.9e-19 0.055 1e+02 
483790 1374690 350 3.2e-06  0 0 0 1.3e-222 1.3e-87 7.3e-18 0.22 1e+02 
483790 1376190 350 2.5e-05  0 0 0 9.3e-220 5.6e-86 5.7e-17 0.77 99 
483790 1377690 350 0.00017  0 0 0 1.8e-217 1.2e-84 3.3e-16 2.4 98 
483790 1379190 350 0.00099  0 0 0 9.8e-216 1.4e-83 1.4e-15 6.2 94 
483790 1380690 350 0.0051  0 0 0 1.4e-214 7.2e-83 3.9e-15 13 87 
483790 1382190 350 0.023  0 0 0 5.1e-214 1.8e-82 7.6e-15 23 77 
483790 1383690 350 0.093  0 0 0 5.1e-214 2.2e-82 1e-14 34 66 
483790 1385190 350 0.31  0 0 0 1.4e-214 1.4e-82 1.1e-14 42 58 
483790 1386690 350 0.82  0 0 0 1.2e-215 4.4e-83 8.2e-15 48 52 
483790 1388190 350 1.7  0 0 0 2.9e-217 8e-84 5.1e-15 52 48 
483790 1389690 350 2.5  0 0 0 2.2e-219 8.2e-85 2.6e-15 53 47 
483790 1391190 350 2.9  0 0 0 5.3e-222 4.7e-86 1.1e-15 54 46 
483790 1392690 350 2.5  0 0 0 4e-225 1.6e-87 3.7e-16 53 47 
483790 1394190 350 1.6  0 0 0 9.5e-229 2.9e-89 1.1e-16 52 48 
483790 1395690 350 0.75  0 0 0 7e-233 3.1e-91 2.5e-17 50 50 
483790 1397190 350 0.27  0 0 0 1.6e-237 1.8e-93 4.7e-18 46 54 
483790 1398690 350 0.072  0 0 0 1.1e-242 6.2e-96 7.2e-19 42 58 
483790 1400190 350 0.015  0 0 0 2.5e-248 1.1e-98 8.9e-20 37 63 
483790 1401690 350 0.0024  0 0 0 1.6e-254 1.2e-101 8.7e-21 32 68 
483790 1403190 350 0.0003  0 0 0 3.2e-261 6.4e-105 6.8e-22 26 74 
483790 1404690 350 2.9e-05  0 0 0 1.9e-268 1.9e-108 4.1e-23 20 80 
483790 1406190 350 2.3e-06  0 0 0 3.2e-276 3e-112 1.9e-24 14 86 
483790 1407690 350 1.5e-07  0 0 0 1.5e-284 2.4e-116 6.5e-26 9.2 91 
483790 1409190 350 7.8e-09  0 0 0 2.1e-293 1e-120 1.7e-27 5.5 95 
483790 1410690 350 3.4e-10  0 0 0 8.3e-303 2.2e-125 3.2e-29 2.9 97 
483790 1412190 350 1.3e-11  0 0 0 0 2.3e-130 4.5e-31 1.4 99 
483790 1413690 350 4e-13  0 0 0 0 1.3e-135 4.6e-33 0.59 99 
483790 1415190 350 1.1e-14  0 0 0 0 3.3e-141 3.3e-35 0.21 1e+02 
483790 1416690 350 2.6e-16  0 0 0 0 4.1e-147 1.6e-37 0.067 1e+02 
483790 1418190 350 5.6e-18  0 0 0 0 2.5e-153 5.6e-40 0.018 1e+02 
483790 1419690 350 1.1e-19  0 0 0 0 7e-160 1.3e-42 0.0039 1e+02 
483790 1421190 350 1.9e-21  0 0 0 0 9.4e-167 2.2e-45 0.00072 1e+02 
483790 1422690 350 2.9e-23  0 0 0 0 5.9e-174 2.4e-48 0.00011 1e+02 
483790 1424190 350 4e-25  0 0 0 0 1.8e-181 1.8e-51 1.4e-05 1e+02 
483790 1425690 350 5e-27  0 0 0 0 2.5e-189 9.2e-55 1.5e-06 1e+02 
483790 1427190 350 5.6e-29  0 0 0 0 1.6e-197 3.3e-58 1.4e-07 1e+02 
483790 1428690 350 5.7e-31  0 0 0 0 5.1e-206 8e-62 1.1e-08 1e+02 
483790 1430190 350 5.1e-33  0 0 0 0 7.6e-215 1.3e-65 6.8e-10 1e+02 
483790 1431690 350 4e-35  0 0 0 0 5.4e-224 1.5e-69 3.6e-11 1e+02 
485290 1332690 350 1.7e-68  0 0 0 0 2e-240 1.5e-89 8e-32 1e+02 
485290 1334190 350 4.2e-65  0 0 0 0 8.2e-231 3.3e-85 3.3e-30 1e+02 
485290 1335690 350 8.4e-62  0 0 0 0 1.7e-221 5.3e-81 1.2e-28 1e+02 
485290 1337190 350 1.4e-58  0 0 0 0 1.8e-212 6.4e-77 3.9e-27 1e+02 
485290 1338690 350 2e-55  0 0 0 0 9.4e-204 5.6e-73 1.2e-25 1e+02 
485290 1340190 350 2.3e-52  0 0 0 0 2.5e-195 3.7e-69 3.1e-24 1e+02 
485290 1341690 350 2.3e-49  0 0 0 0 3.5e-187 1.8e-65 7.3e-23 1e+02 
485290 1343190 350 1.8e-46  0 0 0 0 2.5e-179 6.3e-62 1.6e-21 1e+02 
485290 1344690 350 1.2e-43  0 0 0 0 8.9e-172 1.7e-58 3.1e-20 1e+02 
485290 1346190 350 6.6e-41  0 0 0 0 1.7e-164 3.4e-55 5.6e-19 1e+02 
485290 1347690 350 2.9e-38  0 0 0 0 1.6e-157 5e-52 9.3e-18 1e+02 
485290 1349190 350 1.1e-35  0 0 0 0 8e-151 5.6e-49 1.4e-16 1e+02 
485290 1350690 350 3.2e-33  0 0 0 0 2.1e-144 4.7e-46 2e-15 1e+02 
485290 1352190 350 7.9e-31  0 0 0 0 2.8e-138 3e-43 2.5e-14 1e+02 
485290 1353690 350 1.6e-28  0 0 0 0 1.9e-132 1.4e-40 3e-13 1e+02 
485290 1355190 350 2.5e-26  0 0 0 1.5e-292 7.1e-127 5.2e-38 3.4e-12 1e+02 
485290 1356690 350 3.3e-24  0 0 0 1e-282 1.4e-121 1.4e-35 3.5e-11 1e+02 
485290 1358190 350 3.5e-22  0 0 0 2.1e-273 1.4e-116 3e-33 3.4e-10 1e+02 
485290 1359690 350 3e-20  0 0 0 1.2e-264 7.1e-112 4.7e-31 3.1e-09 1e+02 
485290 1361190 350 2.1e-18  0 0 0 2.1e-256 2e-107 5.7e-29 2.7e-08 1e+02 
485290 1362690 350 1.1e-16  0 0 0 1e-248 2.9e-103 5.3e-27 2.1e-07 1e+02 
485290 1364190 350 5.1e-15  0 0 0 1.5e-241 2.2e-99 3.7e-25 1.6e-06 1e+02 
485290 1365690 350 1.8e-13  0 0 0 6.2e-235 8.9e-96 2e-23 1.1e-05 1e+02 
485290 1367190 350 5.2e-12  0 0 0 7.5e-229 1.9e-92 8.3e-22 7.1e-05 1e+02 
485290 1368690 350 1.2e-10  0 0 0 2.6e-223 2.1e-89 2.6e-20 0.00043 1e+02 
485290 1370190 350 2.3e-09  0 0 0 2.7e-218 1.3e-86 6.3e-19 0.0024 1e+02 
485290 1371690 350 3.4e-08  0 0 0 8e-214 3.9e-84 1.1e-17 0.012 1e+02 
485290 1373190 350 4.1e-07  0 0 0 6.8e-210 6.4e-82 1.6e-16 0.055 1e+02 
485290 1374690 350 4e-06  0 0 0 1.7e-206 5.4e-80 1.7e-15 0.23 1e+02 
485290 1376190 350 3.3e-05  0 0 0 1.2e-203 2.4e-78 1.3e-14 0.83 99 
485290 1377690 350 0.00022  0 0 0 2.3e-201 5.3e-77 7.5e-14 2.6 97 
485290 1379190 350 0.0013  0 0 0 1.3e-199 5.9e-76 3.1e-13 7.1 93 
485290 1380690 350 0.0065  0 0 0 1.8e-198 3.1e-75 8.9e-13 16 84 
485290 1382190 350 0.03  0 0 0 6.5e-198 7.6e-75 1.7e-12 27 73 
485290 1383690 350 0.12  0 0 0 6.4e-198 9.2e-75 2.3e-12 39 61 
485290 1385190 350 0.4  0 0 0 1.8e-198 5.6e-75 2.4e-12 48 52 
485290 1386690 350 1.1  0 0 0 1.4e-199 1.9e-75 1.9e-12 54 46 
485290 1388190 350 2.1  0 0 0 3.7e-201 3.4e-76 1.2e-12 58 42 
485290 1389690 350 3.2  0 0 0 2.9e-203 3.6e-77 6.2e-13 61 39 
485290 1391190 350 3.5  0 0 0 7.3e-206 2.2e-78 2.7e-13 62 38 
485290 1392690 350 2.8  0 0 0 5.8e-209 7.5e-80 9.6e-14 62 38 
485290 1394190 350 1.7  0 0 0 1.4e-212 1.5e-81 2.9e-14 61 39 
485290 1395690 350 0.75  0 0 0 1.1e-216 1.7e-83 7.1e-15 59 41 
485290 1397190 350 0.25  0 0 0 2.8e-221 1.1e-85 1.5e-15 56 44 
485290 1398690 350 0.062  0 0 0 2.2e-226 3.9e-88 2.4e-16 53 47 
485290 1400190 350 0.012  0 0 0 5.2e-232 7.9e-91 3.3e-17 49 51 
485290 1401690 350 0.0017  0 0 0 3.8e-238 8.9e-94 3.5e-18 44 56 
485290 1403190 350 0.00019  0 0 0 8.3e-245 5.5e-97 3.1e-19 38 62 
485290 1404690 350 1.6e-05  0 0 0 5.4e-252 1.8e-100 2.1e-20 31 69 
485290 1406190 350 1.1e-06  0 0 0 1e-259 3.2e-104 1.1e-21 24 76 
485290 1407690 350 6.5e-08  0 0 0 5.7e-268 3e-108 4.2e-23 17 83 
485290 1409190 350 3e-09  0 0 0 9e-277 1.4e-112 1.2e-24 11 89 
485290 1410690 350 1.2e-10  0 0 0 3.9e-286 3.4e-117 2.7e-26 6.5 93 
485290 1412190 350 3.9e-12  0 0 0 4.7e-296 4.1e-122 4.2e-28 3.4 97 
485290 1413690 350 1.1e-13  0 0 0 1.5e-306 2.4e-127 4.6e-30 1.5 98 
485290 1415190 350 2.8e-15  0 0 0 0 7e-133 3.6e-32 0.6 99 
485290 1416690 350 6.2e-17  0 0 0 0 9.5e-139 2e-34 0.2 1e+02 
485290 1418190 350 1.2e-18  0 0 0 0 6.1e-145 7.3e-37 0.055 1e+02 
485290 1419690 350 2.2e-20  0 0 0 0 1.9e-151 1.8e-39 0.013 1e+02 
485290 1421190 350 3.6e-22  0 0 0 0 2.7e-158 3.2e-42 0.0025 1e+02 
485290 1422690 350 5.2e-24  0 0 0 0 1.8e-165 3.7e-45 0.0004 1e+02 
485290 1424190 350 6.8e-26  0 0 0 0 5.7e-173 3e-48 5.4e-05 1e+02 
485290 1425690 350 7.9e-28  0 0 0 0 8.5e-181 1.7e-51 6.2e-06 1e+02 
485290 1427190 350 8.2e-30  0 0 0 0 6.1e-189 6.3e-55 6e-07 1e+02 
485290 1428690 350 7.6e-32  0 0 0 0 2.1e-197 1.7e-58 4.9e-08 1e+02 
485290 1430190 350 6.3e-34  0 0 0 0 3.3e-206 3e-62 3.3e-09 1e+02 
485290 1431690 350 4.6e-36  0 0 0 0 2.6e-215 3.8e-66 1.9e-10 1e+02 
486790 1332690 350 6.3e-69  0 0 0 0 1.3e-232 7e-87 1e-31 1e+02 
