#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1427190 350 3.3e-40  0 0 0 0 0 8.7e-171 3.6e-88 1e+02 
482290 1428690 350 2.5e-41  0 0 0 0 0 4.8e-176 6.6e-91 1e+02 
482290 1430190 350 1.7e-42  0 0 0 0 0 1.8e-181 9.9e-94 1e+02 
482290 1431690 350 1e-43  0 0 0 0 0 4.5e-187 1.2e-96 1e+02 
483790 1332690 350 2.4e-43  0 0 0 0 0 3.5e-185 1.2e-95 1e+02 
483790 1334190 350 4.1e-42  0 0 0 0 0 1.8e-179 1.1e-92 1e+02 
483790 1335690 350 6.5e-41  0 0 0 0 0 6.4e-174 8.4e-90 1e+02 
483790 1337190 350 9.4e-40  0 0 0 0 0 1.5e-168 5.2e-87 1e+02 
483790 1338690 350 1.2e-38  0 0 0 0 0 2.4e-163 2.6e-84 1e+02 
483790 1340190 350 1.5e-37  0 0 0 0 0 2.5e-158 1.1e-81 1e+02 
483790 1341690 350 1.7e-36  0 0 0 0 0 1.7e-153 3.6e-79 1e+02 
483790 1343190 350 1.7e-35  0 0 0 0 0 8.2e-149 9.7e-77 1e+02 
483790 1344690 350 1.6e-34  0 0 0 0 9e-280 2.6e-144 2.1e-74 1e+02 
483790 1346190 350 1.4e-33  0 0 0 0 1.9e-271 5.4e-140 3.8e-72 1e+02 
483790 1347690 350 1.1e-32  0 0 0 0 1.9e-263 7.7e-136 5.4e-70 1e+02 
483790 1349190 350 7.9e-32  0 0 0 0 8.4e-256 7.3e-132 6.4e-68 1e+02 
483790 1350690 350 5.3e-31  0 0 0 0 1.8e-248 4.6e-128 6e-66 1e+02 
483790 1352190 350 3.2e-30  0 0 0 0 1.7e-241 1.9e-124 4.7e-64 1e+02 
483790 1353690 350 1.8e-29  0 0 0 0 7.5e-235 5.5e-121 2.9e-62 1e+02 
483790 1355190 350 9.2e-29  0 0 0 0 1.5e-228 1e-117 1.5e-60 1e+02 
483790 1356690 350 4.4e-28  0 0 0 0 1.5e-222 1.3e-114 6.1e-59 1e+02 
483790 1358190 350 1.9e-27  0 0 0 0 6.4e-217 1.1e-111 2e-57 1e+02 
483790 1359690 350 7.5e-27  0 0 0 0 1.3e-211 6.4e-109 5.5e-56 1e+02 
483790 1361190 350 2.7e-26  0 0 0 0 1.2e-206 2.4e-106 1.2e-54 1e+02 
483790 1362690 350 9.1e-26  0 0 0 0 5.2e-202 6.2e-104 2.2e-53 1e+02 
483790 1364190 350 2.8e-25  0 0 0 0 1e-197 1.1e-101 3.2e-52 1e+02 
483790 1365690 350 7.8e-25  0 0 0 0 9.7e-194 1.2e-99 3.8e-51 1e+02 
483790 1367190 350 2e-24  0 0 0 0 4.1e-190 9.4e-98 3.6e-50 1e+02 
483790 1368690 350 4.7e-24  0 0 0 0 8.1e-187 4.8e-96 2.8e-49 1e+02 
483790 1370190 350 1e-23  0 0 0 0 7.4e-184 1.7e-94 1.8e-48 1e+02 
483790 1371690 350 2e-23  0 0 0 0 3.1e-181 3.8e-93 9e-48 1e+02 
483790 1373190 350 3.7e-23  0 0 0 0 6.1e-179 5.9e-92 3.8e-47 1e+02 
483790 1374690 350 6.2e-23  0 0 0 0 5.5e-177 6.1e-91 1.3e-46 1e+02 
483790 1376190 350 9.4e-23  0 0 0 0 2.3e-175 4.2e-90 3.5e-46 1e+02 
483790 1377690 350 1.3e-22  0 0 0 0 4.4e-174 2e-89 7.7e-46 1e+02 
483790 1379190 350 1.7e-22  0 0 0 0 3.9e-173 6.1e-89 1.4e-45 1e+02 
483790 1380690 350 2e-22  0 0 0 0 1.6e-172 1.3e-88 2e-45 1e+02 
483790 1382190 350 2.1e-22  0 0 0 0 3e-172 1.8e-88 2.4e-45 1e+02 
483790 1383690 350 2.1e-22  0 0 0 0 2.7e-172 1.7e-88 2.3e-45 1e+02 
483790 1385190 350 1.9e-22  0 0 0 0 1.1e-172 1e-88 1.8e-45 1e+02 
483790 1386690 350 1.6e-22  0 0 0 0 2e-173 4.4e-89 1.2e-45 1e+02 
483790 1388190 350 1.2e-22  0 0 0 0 1.8e-174 1.2e-89 6.1e-46 1e+02 
483790 1389690 350 8.3e-23  0 0 0 0 7.1e-176 2.3e-90 2.5e-46 1e+02 
483790 1391190 350 5.3e-23  0 0 0 0 1.3e-177 2.9e-91 8.6e-47 1e+02 
483790 1392690 350 3.1e-23  0 0 0 0 1.1e-179 2.5e-92 2.4e-47 1e+02 
483790 1394190 350 1.7e-23  0 0 0 0 4.5e-182 1.4e-93 5.4e-48 1e+02 
